 41049	2007	36	AREA OPERATED: (180 TO 499 ACRES)
 41005	2007	1,502	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41059	2007	234	AREA OPERATED: (50 TO 179 ACRES)
 41011	2007	25	AREA OPERATED: (500 TO 999 ACRES)
 41009	1997	180	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41071	2002	614	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41045	2007	214	AREA OPERATED: (180 TO 499 ACRES)
 41003	1997	353	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41023	2002	39	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41015	2002	68	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41041	2002	10	AREA OPERATED: (500 TO 999 ACRES)
 41055	2007	23	AREA OPERATED: (500 TO 999 ACRES)
 41049	2007	185	AREA OPERATED: (1,000 OR MORE ACRES)
 41003	2007	153	AREA OPERATED: (50 TO 179 ACRES)
 41061	1997	93	AREA OPERATED: (500 TO 999 ACRES)
 41001	2002	132	AREA OPERATED: (1,000 OR MORE ACRES)
 41001	2002	76	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41035	2007	334	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41033	2002	6	AREA OPERATED: (500 TO 999 ACRES)
 41011	2002	23	AREA OPERATED: (1,000 OR MORE ACRES)
 41003	1997	27	AREA OPERATED: (500 TO 999 ACRES)
 41059	1997	124	AREA OPERATED: (500 TO 999 ACRES)
 41005	2007	1,773	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41047	2007	195	AREA OPERATED: (180 TO 499 ACRES)
 41009	2007	396	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41051	2007	10	AREA OPERATED: (500 TO 999 ACRES)
 41057	1997	8	AREA OPERATED: (500 TO 999 ACRES)
 41061	2007	125	AREA OPERATED: (180 TO 499 ACRES)
 41007	2007	1	AREA OPERATED: (1,000 OR MORE ACRES)
 41025	2007	68	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41047	1997	843	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41057	2007	8	AREA OPERATED: (500 TO 999 ACRES)
 41013	2002	91	AREA OPERATED: (50 TO 179 ACRES)
 41037	2007	111	AREA OPERATED: (1,000 OR MORE ACRES)
 41071	1997	66	AREA OPERATED: (500 TO 999 ACRES)
 41049	1997	40	AREA OPERATED: (500 TO 999 ACRES)
 41029	2007	810	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41053	1997	262	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41033	2007	301	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41003	2007	17	AREA OPERATED: (500 TO 999 ACRES)
 41045	1997	288	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41019	2002	544	AREA OPERATED: (50 TO 179 ACRES)
 41019	2007	320	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41001	2007	97	AREA OPERATED: (180 TO 499 ACRES)
 41061	2002	107	AREA OPERATED: (1,000 OR MORE ACRES)
 41061	2002	86	AREA OPERATED: (500 TO 999 ACRES)
 41025	2002	174	AREA OPERATED: (1,000 OR MORE ACRES)
 41035	2002	281	AREA OPERATED: (50 TO 179 ACRES)
 41027	2002	3	AREA OPERATED: (500 TO 999 ACRES)
 41051	2002	289	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41011	2002	102	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41031	2007	82	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41069	2007	69	AREA OPERATED: (1,000 OR MORE ACRES)
 41037	2007	63	AREA OPERATED: (500 TO 999 ACRES)
 41011	2007	259	AREA OPERATED: (50 TO 179 ACRES)
 41051	1997	292	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41025	2002	89	AREA OPERATED: (50 TO 179 ACRES)
 41001	1997	160	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41043	2002	516	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41015	2002	16	AREA OPERATED: (1,000 OR MORE ACRES)
 41007	2002	38	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41013	2002	143	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41017	2002	26	AREA OPERATED: (500 TO 999 ACRES)
 41035	2007	86	AREA OPERATED: (500 TO 999 ACRES)
 41025	2002	55	AREA OPERATED: (500 TO 999 ACRES)
 41041	2002	94	AREA OPERATED: (50 TO 179 ACRES)
 41009	2002	6	AREA OPERATED: (500 TO 999 ACRES)
 41033	2007	28	AREA OPERATED: (180 TO 499 ACRES)
 41067	2002	18	AREA OPERATED: (1,000 OR MORE ACRES)
 41055	2007	19	AREA OPERATED: (50 TO 179 ACRES)
 41029	2002	841	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41011	2007	233	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41069	2002	22	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41019	2007	254	AREA OPERATED: (180 TO 499 ACRES)
 41031	2002	60	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41037	1997	30	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41065	2002	78	AREA OPERATED: (180 TO 499 ACRES)
 41029	2002	25	AREA OPERATED: (1,000 OR MORE ACRES)
 41045	2007	137	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41063	2007	100	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41043	2002	505	AREA OPERATED: (50 TO 179 ACRES)
 41029	2007	36	AREA OPERATED: (1,000 OR MORE ACRES)
 41029	2007	385	AREA OPERATED: (50 TO 179 ACRES)
 41025	2007	177	AREA OPERATED: (1,000 OR MORE ACRES)
 41031	2012	85	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41047	2012	869	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41057	2012	61	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41007	2012	78	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41037	2012	58	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41019	2012	524	AREA OPERATED: (50 TO 179 ACRES)
 41069	2012	33	AREA OPERATED: (50 TO 179 ACRES)
 41071	2012	354	AREA OPERATED: (50 TO 179 ACRES)
 41045	1997	107	AREA OPERATED: (500 TO 999 ACRES)
 41019	1997	102	AREA OPERATED: (500 TO 999 ACRES)
 41001	2012	102	AREA OPERATED: (180 TO 499 ACRES)
 41013	2012	55	AREA OPERATED: (180 TO 499 ACRES)
 41047	2012	157	AREA OPERATED: (180 TO 499 ACRES)
 41053	2012	66	AREA OPERATED: (180 TO 499 ACRES)
 41023	2012	36	AREA OPERATED: (500 TO 999 ACRES)
 41007	2012	1	AREA OPERATED: (1,000 OR MORE ACRES)
 41009	2012	5	AREA OPERATED: (1,000 OR MORE ACRES)
 41015	2012	18	AREA OPERATED: (1,000 OR MORE ACRES)
 41017	2012	19	AREA OPERATED: (1,000 OR MORE ACRES)
 41027	2002	34	AREA OPERATED: (180 TO 499 ACRES)
 41029	2002	140	AREA OPERATED: (180 TO 499 ACRES)
 41037	1997	43	AREA OPERATED: (500 TO 999 ACRES)
 41023	2007	35	AREA OPERATED: (500 TO 999 ACRES)
 41047	1997	94	AREA OPERATED: (500 TO 999 ACRES)
 41071	1997	496	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41055	2002	112	AREA OPERATED: (1,000 OR MORE ACRES)
 41041	2002	27	AREA OPERATED: (180 TO 499 ACRES)
 41033	2007	216	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41005	2002	616	AREA OPERATED: (50 TO 179 ACRES)
 41015	2007	53	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41003	2002	21	AREA OPERATED: (500 TO 999 ACRES)
 41043	2007	174	AREA OPERATED: (180 TO 499 ACRES)
 41009	2002	451	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41035	2002	156	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41035	2002	370	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41019	2007	543	AREA OPERATED: (50 TO 179 ACRES)
 41015	1997	26	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41049	2002	43	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41067	2002	319	AREA OPERATED: (50 TO 179 ACRES)
 41017	2007	212	AREA OPERATED: (50 TO 179 ACRES)
 41065	2002	123	AREA OPERATED: (1,000 OR MORE ACRES)
 41051	2002	23	AREA OPERATED: (180 TO 499 ACRES)
 41059	2007	109	AREA OPERATED: (500 TO 999 ACRES)
 41053	2007	517	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41033	1997	339	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41059	2002	421	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41043	2002	980	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41065	2002	41	AREA OPERATED: (500 TO 999 ACRES)
 41027	2002	239	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41063	2002	84	AREA OPERATED: (50 TO 179 ACRES)
 41025	2007	19	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41055	2002	14	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41001	2007	176	AREA OPERATED: (50 TO 179 ACRES)
 41039	2002	1,155	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41011	1997	256	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41069	1997	11	AREA OPERATED: (500 TO 999 ACRES)
 41063	2007	81	AREA OPERATED: (180 TO 499 ACRES)
 41061	2007	114	AREA OPERATED: (1,000 OR MORE ACRES)
 41047	1997	1,175	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41061	2007	247	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41037	2007	80	AREA OPERATED: (50 TO 179 ACRES)
 41015	2007	49	AREA OPERATED: (50 TO 179 ACRES)
 41055	2002	8	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41017	2002	919	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41017	2002	363	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41015	1997	26	AREA OPERATED: (500 TO 999 ACRES)
 41031	2007	135	AREA OPERATED: (50 TO 179 ACRES)
 41021	2007	107	AREA OPERATED: (1,000 OR MORE ACRES)
 41065	2007	106	AREA OPERATED: (1,000 OR MORE ACRES)
 41047	2007	898	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41069	2007	36	AREA OPERATED: (50 TO 179 ACRES)
 41053	2002	272	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41071	2007	526	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41065	2007	156	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41011	2002	97	AREA OPERATED: (180 TO 499 ACRES)
 41015	2007	38	AREA OPERATED: (180 TO 499 ACRES)
 41013	1997	138	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41001	2007	56	AREA OPERATED: (500 TO 999 ACRES)
 41065	2002	113	AREA OPERATED: (50 TO 179 ACRES)
 41039	2007	1,368	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41051	1997	267	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41071	2007	51	AREA OPERATED: (500 TO 999 ACRES)
 41027	2012	196	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41067	2012	610	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41041	2012	161	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41011	2012	213	AREA OPERATED: (50 TO 179 ACRES)
 41031	2012	131	AREA OPERATED: (50 TO 179 ACRES)
 41037	2012	75	AREA OPERATED: (50 TO 179 ACRES)
 41039	2012	476	AREA OPERATED: (50 TO 179 ACRES)
 41045	2012	346	AREA OPERATED: (50 TO 179 ACRES)
 41059	2012	261	AREA OPERATED: (50 TO 179 ACRES)
 41061	2012	169	AREA OPERATED: (50 TO 179 ACRES)
 41033	2002	232	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41059	2012	156	AREA OPERATED: (180 TO 499 ACRES)
 41033	2012	2	AREA OPERATED: (500 TO 999 ACRES)
 41053	2012	32	AREA OPERATED: (500 TO 999 ACRES)
 41057	2012	6	AREA OPERATED: (500 TO 999 ACRES)
 41069	2012	7	AREA OPERATED: (500 TO 999 ACRES)
 41071	2012	47	AREA OPERATED: (500 TO 999 ACRES)
 41045	2012	148	AREA OPERATED: (1,000 OR MORE ACRES)
 41067	1997	792	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41031	1997	63	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41053	2007	264	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41043	2007	454	AREA OPERATED: (50 TO 179 ACRES)
 41003	2002	372	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41005	2002	44	AREA OPERATED: (500 TO 999 ACRES)
 41025	2007	97	AREA OPERATED: (180 TO 499 ACRES)
 41017	1997	380	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41039	2002	34	AREA OPERATED: (1,000 OR MORE ACRES)
 41005	2007	123	AREA OPERATED: (180 TO 499 ACRES)
 41071	2002	378	AREA OPERATED: (50 TO 179 ACRES)
 41067	2007	95	AREA OPERATED: (180 TO 499 ACRES)
 41063	1997	57	AREA OPERATED: (500 TO 999 ACRES)
 41015	2002	48	AREA OPERATED: (50 TO 179 ACRES)
 41021	2002	9	AREA OPERATED: (10.0 TO 49.9 ACRES)
